iter	Passed	Remaining
445	1068	1326
446	1069	1323
447	1071	1320
448	1073	1317
449	1075	1314
450	1077	1311
451	1079	1308
452	1081	1305
453	1082	1302
454	1084	1299
455	1086	1296
456	1088	1293
457	1089	1289
458	1091	1286
459	1093	1284
460	1095	1280
461	1097	1277
462	1099	1274
463	1100	1271
464	1102	1268
465	1104	1265
466	1105	1262
467	1107	1259
468	1109	1256
469	1111	1253
470	1113	1250
471	1115	1247
472	1116	1244
473	1118	1241
474	1120	1238
475	1121	1235
476	1124	1232
477	1126	1229
478	1127	1226
479	1129	1223
480	1131	1220
481	1133	1217
482	1134	1214
483	1136	1211
484	1138	1209
485	1140	1206
486	1142	1203
487	1143	1200
488	1145	1197
489	1147	1194
490	1149	1191
491	1151	1188
492	1153	1186
493	1155	1183
494	1156	1180
495	1158	1177
496	1160	1174
497	1161	1170
498	1163	1167
499	1164	1164
500	1166	1161
501	1167	1158
502	1169	1155
503	1171	1153
504	1173	1150
505	1175	1147
506	1177	1144
507	1178	1141
508	1180	1138
509	1182	1135
510	1184	1133
511	1186	1131
512	1189	1128
513	1190	1125
514	1192	1123
515	1194	1120
516	1195	1117
517	1199	1115
518	1201	1113
519	1203	1110
520	1204	1107
521	1207	1105
522	1209	1102
523	1211	1100
524	1213	1097
525	1215	1095
526	1218	1093
527	1220	1090
528	1222	1088
529	1223	1085
530	1226	1082
531	1228	1080
532	1230	1078
533	1232	1075
534	1234	1073
535	1236	1070
536	1238	1068
537	1241	1065
538	1243	1063
539	1244	1060
540	1247	1058
541	1248	1055
542	1250	1052
543	1252	1049
544	1254	1047
545	1256	1044
546	1258	1042
547	1260	1040
548	1262	1037
549	1264	1034
550	1266	1032
551	1268	1029
552	1270	1027
553	1273	1025
554	1275	1022
555	1277	1020
556	1279	1017
557	1281	1015
558	1283	1012
559	1285	1009
560	1287	1007
561	1289	1005
562	1291	1002
563	1293	1000
564	1295	997
565	1297	995
566	1300	992
567	1302	990
568	1319	999
569	1321	996
570	1323	994
571	1325	991
572	1328	989
573	1330	987
574	1336	988
575	1339	985
576	1342	984
577	1344	981
578	1353	984
579	1355	981
580	1357	978
581	1358	975
582	1360	973
583	1362	970
584	1365	968
585	1366	965
586	1368	962
587	1371	960
588	1373	958
589	1375	956
590	1379	954
591	1381	952
592	1383	949
593	1385	947
594	1387	944
595	1389	941
596	1391	939
597	1393	936
598	1395	934
599	1397	931
600	1398	928
601	1400	925
602	1401	922
603	1403	919
604	1404	916
605	1406	914
606	1408	911
607	1409	909
608	1411	906
609	1412	903
610	1414	900
611	1416	897
612	1417	894
613	1419	892
614	1421	889
615	1423	887
616	1424	884
617	1426	881
618	1428	879
619	1429	876
620	1431	873
621	1433	871
622	1436	869
623	1438	867
624	1440	864
625	1442	861
626	1444	859
627	1445	856
628	1447	854
629	1450	851
630	1452	849
631	1454	846
632	1456	844
633	1457	841
634	1459	838
635	1461	836
636	1463	833
637	1465	831
638	1468	829
639	1469	826
640	1471	824
641	1473	821
642	1475	819
643	1477	816
644	1479	814
645	1481	812
646	1483	809
647	1485	806
648	1487	804
649	1488	801
650	1490	799
651	1492	796
652	1494	794
653	1496	791
654	1498	789
655	1500	786
656	1502	784
657	1503	781
658	1505	779
659	1507	776
660	1509	774
661	1511	771
662	1514	769
663	1517	767
664	1520	766
665	1527	765
666	1534	765
667	1541	766
668	1545	764
669	1550	763
670	1562	766
671	1570	766
672	1574	765
673	1576	762
674	1580	760
675	1583	759
676	1585	756
677	1588	754
678	1589	751
679	1591	748
680	1592	746
681	1595	743
682	1597	741
683	1599	738
684	1601	736
685	1602	733
686	1604	730
687	1605	728
688	1606	725
689	1608	722
690	1610	720
691	1612	717
692	1613	714
693	1615	712
694	1616	709
695	1618	706
696	1619	703
697	1620	701
698	1621	698
699	1623	695
700	1625	693
701	1627	690
702	1628	688
703	1630	685
704	1631	682
705	1633	680
706	1634	677
707	1636	674
708	1637	672
709	1639	669
710	1641	667
711	1642	664
712	1644	661
713	1645	659
714	1646	656
715	1648	653
716	1649	651
717	1650	648
718	1652	645
719	1654	643
720	1655	640
721	1657	638
722	1658	635
723	1660	632
724	1661	630
725	1663	627
726	1664	625
727	1666	622
728	1668	620
729	1670	617
730	1672	615
731	1673	612
732	1674	609
733	1675	607
734	1677	604
735	1679	602
736	1681	599
737	1683	597
738	1686	595
739	1688	593
740	1689	590
741	1691	588
742	1692	585
743	1694	583
744	1697	580
745	1699	578
746	1701	576
747	1703	573
748	1704	571
749	1706	568
750	1708	566
751	1710	564
752	1712	561
753	1715	559
754	1717	557
755	1718	554
756	1720	552
757	1722	549
758	1724	547
759	1725	545
760	1728	542
761	1730	540
762	1732	538
763	1734	535
764	1736	533
765	1737	530
766	1739	528
767	1741	526
768	1745	524
769	1747	522
770	1749	519
771	1751	517
772	1752	514
773	1754	512
774	1758	510
775	1760	508
776	1764	506
777	1767	504
778	1769	501
779	1771	499
780	1774	497
781	1779	496
782	1780	493
783	1782	491
784	1784	488
785	1786	486
786	1788	484
787	1790	481
788	1791	479
789	1792	476
790	1794	474
791	1795	471
792	1796	469
793	1798	466
794	1800	464
795	1805	462
796	1807	460
797	1808	457
798	1810	455
799	1811	452
800	1813	450
801	1815	448
802	1816	445
803	1818	443
804	1819	440
805	1820	438
806	1822	435
807	1823	433
808	1824	430
809	1825	428
810	1828	426
811	1831	423
812	1833	421
813	1834	419
814	1836	416
815	1837	414
816	1838	411
817	1840	409
818	1842	407
819	1845	405
820	1846	402
821	1848	400
822	1849	397
823	1850	395
824	1851	392
825	1853	390
826	1855	388
827	1857	385
828	1860	383
829	1862	381
830	1864	379
831	1865	376
832	1866	374
833	1868	371
834	1870	369
835	1872	367
836	1874	364
837	1875	362
838	1877	360
839	1878	357
840	1879	355
841	1881	353
842	1883	350
843	1884	348
844	1887	346
845	1889	344
846	1891	341
847	1892	339
848	1894	336
849	1895	334
850	1897	332
851	1898	329
852	1900	327
853	1902	325
854	1904	322
855	1906	320
856	1907	318
857	1908	315
858	1910	313
859	1911	311
860	1913	308
861	1917	307
862	1919	304
863	1921	302
864	1923	300
865	1924	297
866	1926	295
867	1928	293
868	1931	291
869	1934	289
870	1936	286
871	1939	284
872	1941	282
873	1946	280
874	1950	278
875	1952	276
876	1954	274
877	1956	271
878	1958	269
879	1961	267
880	1963	265
881	1966	263
882	1968	260
883	1970	258
884	1973	256
885	1977	254
886	1979	252
887	1981	249
888	1983	247
889	1985	245
890	1991	243
891	1994	241
892	1996	239
893	1998	236
894	2000	234
895	2003	232
896	2007	230
897	2009	228
898	2012	226
899	2014	223
900	2016	221
901	2019	219
902	2022	217
903	2024	214
904	2026	212
905	2028	210
906	2030	208
907	2032	205
908	2036	203
909	2039	201
910	2041	199
911	2043	197
912	2045	194
913	2049	192
914	2051	190
915	2054	188
916	2056	186
917	2057	183
918	2059	181
919	2060	179
920	2064	177
921	2067	174
922	2069	172
923	2070	170
924	2072	168
925	2073	165
926	2075	163
927	2077	161
928	2079	158
929	2081	156
930	2082	154
931	2084	152
932	2085	149
933	2087	147
934	2088	145
935	2090	142
936	2093	140
937	2095	138
938	2097	136
939	2098	133
940	2100	131
941	2102	129
942	2104	127
943	2105	124
944	2108	122
945	2110	120
946	2112	118
947	2114	115
948	2115	113
949	2117	111
950	2119	109
951	2120	106
952	2122	104
953	2125	102
954	2126	100
955	2128	97
956	2129	95
957	2131	93
958	2132	91
959	2134	88
960	2137	86
961	2139	84
962	2141	82
963	2142	80
964	2144	77
965	2145	75
966	2147	73
967	2149	71
968	2152	68
969	2156	66
970	2158	64
971	2159	62
972	2161	59
973	2162	57
974	2164	55
975	2167	53
976	2169	51
977	2171	48
978	2172	46
979	2173	44
980	2175	42
981	2177	39
982	2178	37
983	2181	35
984	2184	33
985	2186	31
986	2187	28
987	2189	26
988	2191	24
989	2192	22
990	2194	19
991	2196	17
992	2198	15
993	2200	13
994	2202	11
995	2204	8
996	2206	6
997	2208	4
998	2211	2
999	2213	0
